
NomeImagem: Berea500-gt2-n1-np60-N300-lp.pm3
Modelo encrustração: 2
Modelo grafo: 3
Tipo solver: 2
PorosidadeEncrustrada	Permeabilidade
1	881.337
2	849.999
3	772.175
4	686.225
5	688.85
6	647.889
7	601.628
8	510.061
9	620.544
10	581.869
11	683.86
12	797.602
13	551.507
14	10.8255
15	9.44829
16	6.45349
17	21.3222
18	15.5795
19	0.42422
20	0.0234581
21	2.28625
22	0.152378
23	0.305444
24	1.74983e-06
25	0.000126395
26	0.457423
27	5.58971
28	1.54846e-14
29	0.045779
30	0.0586293
31	3.75028
32	-0
33	0.197225
34	-0
35	-0
36	3.69093e-16
37	-0
38	-0
39	1.13165e-18
40	-0
