
NomeImagem: Berea500-gt2-n1-np60-N300-lp.pm3
Modelo encrustração: 1
Modelo grafo: 3
Tipo solver: 2
PorosidadeEncrustrada	Permeabilidade
1	876.805
2	852.353
3	803.135
4	772.298
5	577.354
6	619.464
7	554.349
8	170.339
9	602.484
10	570.914
11	649.625
12	488.376
13	530.826
14	590.376
15	8.45373
16	1.18449
17	0.053118
18	36.9397
19	0.406477
20	0.00957231
21	0.596739
22	0.959637
23	0.142352
24	3.80545e-06
25	2.99281e-07
26	1.16551e-13
27	0.0517035
28	0.770379
29	13.8179
30	9.60048
31	4.90573
32	-0
33	0.193636
34	6.38879e-16
35	-0
36	-0
37	-0
38	-0
39	-0
40	-0
41	-0
42	-0
